Player,POS_prefix,RUSHING_ATT,RUSHING_YDS,RUSHING_TDS,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TDS,TOT_TDS,FPTS,FPTS_BIN,RECEIVING_REC_BIN,TOT_TDS_BIN
Dallas Goedert PHI,TE,0.0,2.0,0.0,57.5,634.2,3.9,3.9,143.6,125-149,50-59,0-4
Zach Ertz WAS,TE,0.0,0.0,0.0,58.3,540.9,5.1,5.1,143.0,125-149,50-59,5-9
Kyle Pitts Sr. ATL,TE,0.0,0.0,0.0,51.2,648.4,4.2,4.2,141.4,125-149,50-59,0-4
Rhamondre Stevenson NE,RB,153.0,620.8,5.0,27.8,176.8,1.1,6.1,141.0,125-149,20-29,5-9
Dalton Kincaid BUF,TE,0.0,0.0,0.0,57.3,603.2,4.0,4.0,140.9,125-149,50-59,0-4
Jerome Ford CLE,RB,142.7,589.0,3.1,34.3,238.4,1.1,4.2,140.6,125-149,30-39,0-4
Jayden Higgins HOU,WR,0.7,4.0,0.0,50.0,663.6,3.9,3.9,139.3,125-149,40-49,0-4
Joe Mixon HOU,RB,143.4,569.8,4.9,24.6,197.3,1.1,6.0,136.0,125-149,20-29,5-9
Brandon Aiyuk SF,WR,0.0,0.8,0.0,45.0,685.8,3.7,3.7,134.9,125-149,40-49,0-4
Hunter Henry NE,TE,0.0,0.0,0.0,54.4,568.5,3.9,3.9,133.8,125-149,50-59,0-4
Jordan Mason MIN,RB,164.2,755.5,4.7,16.2,118.4,0.5,5.2,133.3,125-149,10-19,5-9
Colston Loveland CHI,TE,0.0,0.0,0.0,54.3,569.6,3.8,3.8,131.7,125-149,50-59,0-4
Romeo Doubs GB,WR,0.0,0.5,0.0,46.9,598.2,4.3,4.3,131.4,125-149,40-49,0-4
Rachaad White TB,RB,104.6,420.7,2.7,35.7,269.8,2.1,4.800000000000001,131.0,125-149,30-39,0-4
Chig Okonkwo TEN,TE,0.0,3.0,0.0,56.5,563.5,3.2,3.2,130.8,125-149,50-59,0-4
Brenton Strange JAC,TE,0.0,0.0,0.0,55.2,548.8,3.5,3.5,130.1,125-149,50-59,0-4
Joshua Palmer BUF,WR,0.0,0.5,0.0,44.5,622.5,3.8,3.8,129.0,125-149,40-49,0-4
Tyler Lockett TEN,WR,0.0,0.0,0.0,49.2,570.3,3.4,3.4,126.2,125-149,40-49,0-4
Jonnu Smith PIT,TE,0.0,1.5,0.0,51.4,530.9,3.8,3.8,125.9,125-149,50-59,0-4
Cade Otton TB,TE,0.0,0.0,0.0,50.4,515.6,4.1,4.1,125.7,125-149,50-59,0-4
Michael Wilson ARI,WR,1.9,8.9,0.1,44.9,540.2,4.1,4.199999999999999,123.5,100-124,40-49,0-4
Darren Waller MIA,TE,0.0,0.0,0.0,49.0,540.8,3.1,3.1,121.8,100-124,40-49,0-4
Luther Burden III CHI,WR,3.6,27.2,0.4,44.8,542.1,3.2,3.6,120.8,100-124,40-49,0-4
